propertyid,node_id,grocery_2k,lightrail_2k,transit_cen_2k,food_drink_2k,cafe_2k,college_2k,entertainment_2k,parks_2k,tract_fips,bg_fips
9625437,40583808,3.0,23.0,1.0,79.0,18.0,0.0,1.0,30.0,41051002100,410510021002
9625438,40571234,6.0,4.0,0.0,67.0,16.0,0.0,3.0,28.0,41051002000,410510020004
7761646,38872165,4.0,0.0,0.0,3.0,2.0,0.0,0.0,15.0,41067030401,410670304012
9642557,38761288,1.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,41067030801,410670308011
8765817,2471446214,0.0,0.0,0.0,13.0,1.0,0.0,0.0,21.0,41005024400,410050244003
9235465,4270772157,0.0,1.0,0.0,11.0,0.0,0.0,0.0,17.0,41005024400,410050244003
1354611,40490959,0.0,2.0,0.0,6.0,1.0,0.0,0.0,23.0,41051008902,410510089021
1530860,38778989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41067032603,410670326034
9306959,38755622,0.0,1.0,0.0,2.0,1.0,0.0,0.0,42.0,41067032108,410670321082
9208324,1073705210,0.0,0.0,0.0,2.0,3.0,0.0,1.0,44.0,41067031909,410670319091
7762312,38753480,0.0,1.0,0.0,2.0,2.0,0.0,0.0,75.0,41067032407,410670324072
7224002,38882562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,41067031815,410670318152
1556295,38829235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,41067031908,410670319081
9673576,40671916,8.0,10.0,0.0,72.0,20.0,0.0,3.0,31.0,41051001201,410510012014
6206590,40501955,7.0,10.0,0.0,71.0,20.0,0.0,3.0,30.0,41051001201,410510012014
7761115,40524511,0.0,3.0,0.0,0.0,1.0,0.0,0.0,29.0,41051010002,410510100022
7761708,38776609,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,41067031706,410670317061
9276007,40679638,0.0,14.0,0.0,2.0,5.0,1.0,0.0,31.0,41051005900,410510059001
8146598,37462892,0.0,1.0,0.0,13.0,1.0,0.0,0.0,22.0,41005022708,410050227082
9676340,2022659027,1.0,5.0,0.0,0.0,3.0,0.0,0.0,33.0,41051005900,410510059001
7847343,40597375,3.0,3.0,1.0,4.0,2.0,0.0,0.0,26.0,41051003801,410510038013
5601845,47268907,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,53011041205,530110412051
8256345,40559595,7.0,1.0,1.0,47.0,9.0,0.0,0.0,15.0,41051002702,410510027021
10005887,4291626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,41067031509,410670315091
7968883,38789046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,41067031908,410670319082
9170182,2936164272,4.0,0.0,0.0,6.0,2.0,0.0,0.0,18.0,41051004200,410510042002
9288682,40683033,6.0,4.0,0.0,70.0,18.0,0.0,3.0,28.0,41051002000,410510020004
9272670,40639304,7.0,1.0,0.0,71.0,17.0,0.0,3.0,26.0,41051002000,410510020003
1566494,1289707964,3.0,2.0,0.0,4.0,2.0,0.0,0.0,17.0,41051008202,410510082022
4329840,3888034964,0.0,4.0,0.0,9.0,0.0,0.0,1.0,12.0,41051009301,410510093012
9507732,4190352967,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,53011041205,530110412051
9509092,2038945955,1.0,0.0,0.0,4.0,1.0,0.0,0.0,24.0,41051009000,410510090001
9448453,2463414755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,41067031509,410670315091
4232954,1237914279,3.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,41067030200,410670302001
7761381,38769642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41067032110,410670321101
7761167,37598338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41005024400,410050244001
9107923,40489603,1.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,41051006403,410510064032
7770914,38823662,0.0,0.0,0.0,6.0,0.0,0.0,0.0,14.0,41067032609,410670326091
84126,37425237,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,41005022500,410050225001
9488356,37413124,0.0,0.0,0.0,6.0,1.0,0.0,0.0,18.0,41005023403,410050234031
8241346,37615382,3.0,0.0,0.0,9.0,1.0,1.0,1.0,16.0,41005022201,410050222012
673658,37408246,1.0,1.0,1.0,13.0,2.0,1.0,1.0,13.0,41005022201,410050222013
9260931,1292297491,0.0,0.0,0.0,3.0,2.0,0.0,0.0,58.0,41067032200,410670322001
5691710,38786888,0.0,0.0,0.0,3.0,2.0,0.0,0.0,58.0,41067032103,410670321032
9598276,40493615,6.0,1.0,1.0,43.0,18.0,0.0,2.0,22.0,41051001400,410510014001
6721169,4943702088,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,41067031513,410670315132
7762203,4955419187,0.0,0.0,0.0,3.0,1.0,0.0,0.0,18.0,41067031509,410670315091
8419200,2507788405,0.0,2.0,0.0,5.0,3.0,0.0,0.0,67.0,41067032607,410670326071
9049074,1254720847,0.0,2.0,0.0,5.0,3.0,0.0,0.0,65.0,41067032607,410670326071
4623060,2065473097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41067031908,410670319081
4665346,40439710,0.0,0.0,0.0,7.0,3.0,0.0,0.0,26.0,41051010100,410510101002
9260908,1234001397,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,41005022603,410050226031
7255742,660054289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,41067031617,410670316174
7769479,3674373700,0.0,6.0,0.0,20.0,12.0,0.0,1.0,0.0,53011042400,530110424002
9964056,47290813,0.0,6.0,0.0,20.0,12.0,0.0,1.0,0.0,53011042300,530110423002
9199243,47236177,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,53011041317,530110413171
4530513,40551603,4.0,68.0,0.0,61.0,44.0,4.0,9.0,50.0,41051005700,410510057002
7761709,37646290,3.0,0.0,0.0,5.0,1.0,0.0,0.0,18.0,41005021601,410050216012
9004151,1255859104,0.0,1.0,0.0,1.0,1.0,0.0,0.0,76.0,41067032408,410670324081
4222014,1366277901,0.0,0.0,0.0,2.0,3.0,0.0,0.0,25.0,41067031508,410670315083
9279600,40683024,7.0,15.0,0.0,79.0,16.0,0.0,1.0,30.0,41051002100,410510021002
4221333,40524442,2.0,5.0,0.0,12.0,0.0,0.0,1.0,17.0,41051009604,410510096042
1413566,38717975,0.0,0.0,0.0,2.0,3.0,0.0,1.0,75.0,41067031812,410670318122
4771051,38742736,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,41067032901,410670329012
9163473,40732461,8.0,1.0,0.0,28.0,15.0,0.0,2.0,24.0,41051000901,410510009014
9673408,40494944,5.0,0.0,0.0,22.0,10.0,1.0,1.0,14.0,41051001400,410510014004
7828972,4207992965,3.0,3.0,0.0,4.0,2.0,0.0,0.0,22.0,41051008302,410510083021
4404797,1556404064,0.0,2.0,1.0,2.0,2.0,0.0,0.0,38.0,41067031614,410670316142
4502567,4269013412,0.0,0.0,0.0,2.0,0.0,0.0,1.0,53.0,41067032406,410670324063
7153269,37475081,0.0,0.0,0.0,8.0,1.0,0.0,0.0,19.0,41005023403,410050234031
8972365,38741219,0.0,4.0,1.0,13.0,2.0,0.0,0.0,21.0,41067032604,410670326043
5996286,582863375,0.0,4.0,1.0,9.0,3.0,0.0,0.0,25.0,41051010001,410510100013
4222429,40683376,0.0,1.0,0.0,5.0,1.0,0.0,0.0,35.0,41051009906,410510099061
8021374,47332169,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,53011040407,530110404071
7768799,47350717,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,53011041201,530110412014
1338528,38744905,0.0,2.0,0.0,2.0,3.0,0.0,0.0,25.0,41067031611,410670316112
9923684,40696116,7.0,17.0,0.0,76.0,15.0,0.0,1.0,30.0,41051002100,410510021002
7528891,47313974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,53011042600,530110426003
9260892,38763653,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,41067031610,410670316105
6028604,3785706086,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,53011041600,530110416001
4332644,38777892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,41067031907,410670319075
9811263,3722831666,0.0,3.0,1.0,19.0,6.0,1.0,0.0,46.0,41067031100,410670311002
9066128,40654810,7.0,0.0,0.0,27.0,6.0,0.0,0.0,13.0,41051003000,410510030003
9224493,4190908900,5.0,21.0,0.0,46.0,21.0,1.0,4.0,28.0,41051004500,410510045001
9565885,40415947,4.0,19.0,0.0,38.0,16.0,1.0,4.0,27.0,41051004500,410510045001
4269693,37475477,1.0,0.0,0.0,12.0,2.0,1.0,1.0,13.0,41005021602,410050216021
8913950,4170618770,1.0,0.0,0.0,12.0,2.0,1.0,1.0,12.0,41005021602,410050216021
7768895,1236599117,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,41067031504,410670315044
7768793,38822808,0.0,1.0,0.0,1.0,0.0,0.0,0.0,51.0,41067031609,410670316091
6802029,3988780507,5.0,3.0,1.0,9.0,6.0,0.0,0.0,23.0,41051008100,410510081002
7768186,2072382811,0.0,0.0,0.0,6.0,3.0,0.0,0.0,26.0,41051010100,410510101002
4221438,1983707861,1.0,0.0,0.0,4.0,1.0,0.0,0.0,11.0,41067030101,410670301013
4365668,38746466,0.0,0.0,0.0,6.0,4.0,0.0,0.0,34.0,41067031706,410670317061
721564,40650994,0.0,0.0,0.0,7.0,2.0,0.0,0.0,29.0,41051010100,410510101002
7770546,40761322,0.0,0.0,0.0,7.0,2.0,0.0,0.0,32.0,41051010100,410510101002
7986847,40586050,5.0,17.0,1.0,51.0,11.0,1.0,1.0,25.0,41051002402,410510024021
4665344,40441034,2.0,2.0,0.0,2.0,1.0,0.0,1.0,14.0,41051007202,410510072021
5838477,2005707431,2.0,57.0,0.0,42.0,38.0,4.0,5.0,45.0,41051005700,410510057002
10241427,38750932,0.0,0.0,0.0,0.0,3.0,0.0,0.0,70.0,41067031911,410670319111
6097575,1370679417,0.0,0.0,0.0,2.0,3.0,0.0,1.0,71.0,41067031911,410670319111
9147165,1319678064,8.0,6.0,0.0,57.0,20.0,0.0,2.0,26.0,41051001201,410510012012
9428495,40695004,6.0,0.0,0.0,47.0,21.0,0.0,2.0,25.0,41051001301,410510013013
9145763,40458022,6.0,0.0,0.0,25.0,15.0,0.0,2.0,15.0,41051001400,410510014002
9423741,47393635,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,53011041009,530110410092
4178752,1215556618,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,53011041003,530110410032
7929600,1254702116,0.0,1.0,1.0,4.0,2.0,0.0,0.0,32.0,41067031609,410670316092
8769995,3574803542,0.0,0.0,0.0,3.0,1.0,0.0,0.0,55.0,41067032104,410670321042
6069945,2005241417,1.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,41051008400,410510084002
7768269,1503590031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,41005020501,410050205012
721779,5042305792,8.0,70.0,1.0,74.0,50.0,4.0,8.0,40.0,41051005100,410510051001
4369410,1985160629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,41005022105,410050221052
7761705,37413743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,41005022105,410050221053
9392933,40580702,1.0,5.0,1.0,21.0,6.0,1.0,2.0,28.0,41051003501,410510035011
4576775,38765818,0.0,0.0,0.0,5.0,4.0,0.0,0.0,27.0,41067031617,410670316171
8860076,40440752,4.0,0.0,0.0,6.0,2.0,0.0,0.0,19.0,41051004200,410510042002
8945328,38741602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41067033500,410670335002
4753031,1298732173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41051006404,410510064041
4304845,1474686083,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,41005020303,410050203031
9162613,40651289,6.0,52.0,0.0,73.0,46.0,4.0,8.0,51.0,41051004602,410510046021
1530894,675031966,0.0,0.0,0.0,6.0,4.0,0.0,0.0,28.0,41067031617,410670316172
6993950,40692424,0.0,0.0,0.0,11.0,3.0,0.0,0.0,16.0,41051010411,410510104112
1520262,1514641217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,41051006404,410510064042
7761142,1240481332,0.0,3.0,0.0,2.0,4.0,0.0,0.0,25.0,41067031613,410670316134
9737706,40728202,1.0,8.0,0.0,0.0,4.0,1.0,0.0,32.0,41051005900,410510059001
9432130,4190257975,1.0,8.0,0.0,0.0,4.0,1.0,0.0,32.0,41051005900,410510059001
4449912,4246981348,0.0,4.0,1.0,19.0,4.0,0.0,0.0,19.0,41051010001,410510100012
9889257,38790190,0.0,3.0,1.0,20.0,6.0,1.0,0.0,43.0,41067031100,410670311002
6766351,1234951963,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,53011040605,530110406053
9228787,349355496,0.0,0.0,0.0,2.0,3.0,0.0,0.0,27.0,41067030102,410670301021
8898466,40648318,8.0,30.0,0.0,58.0,27.0,3.0,4.0,32.0,41051004800,410510048001
7757946,40598961,0.0,13.0,0.0,2.0,5.0,1.0,0.0,29.0,41051005900,410510059001
9008621,3172895013,0.0,1.0,0.0,4.0,3.0,0.0,0.0,34.0,41067032005,410670320051
9163479,40515539,5.0,56.0,1.0,104.0,39.0,4.0,9.0,38.0,41051002100,410510021001
4778126,40717428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41051005900,410510059002
8941726,40574150,7.0,68.0,0.0,69.0,49.0,5.0,9.0,46.0,41051010600,410510106002
8945179,1273851432,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,41067033200,410670332002
9010098,3684869872,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,41005023902,410050239021
4221384,3775588997,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,41067030801,410670308014
10109878,3684534985,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,41005023902,410050239023
9022520,2635941423,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,41005023902,410050239023
1026380,38767900,0.0,3.0,1.0,6.0,1.0,0.0,0.0,15.0,41067032604,410670326044
8389876,38771814,1.0,1.0,2.0,5.0,2.0,0.0,0.0,28.0,41067030900,410670309001
1463924,38815239,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,41067031606,410670316062
9597448,40536579,7.0,58.0,0.0,61.0,46.0,5.0,8.0,48.0,41051005600,410510056001
6714737,40648280,9.0,59.0,1.0,79.0,43.0,4.0,7.0,40.0,41051005000,410510050001
1015857,40689970,8.0,54.0,1.0,78.0,36.0,4.0,6.0,37.0,41051005000,410510050001
7741364,40675759,9.0,53.0,0.0,79.0,38.0,4.0,6.0,38.0,41051005000,410510050001
9370710,4190739330,3.0,17.0,1.0,35.0,14.0,1.0,2.0,25.0,41051002203,410510022033
7762375,38788469,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,41067031703,410670317033
4207602,37521862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,41005022107,410050221071
1019038,1237651011,1.0,2.0,0.0,1.0,0.0,0.0,0.0,22.0,41005021400,410050214003
9022543,37540279,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,41005023901,410050239011
7762568,37303487,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,41005024400,410050244001
7761232,37600249,0.0,0.0,0.0,3.0,3.0,0.0,0.0,12.0,41005022605,410050226052
6652883,37486147,1.0,0.0,0.0,12.0,2.0,1.0,1.0,13.0,41005021602,410050216021
4646764,1327794609,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,53011041323,530110413232
9670040,47403308,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,53011041329,530110413291
7968828,444129619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,41051007000,410510070004
7762580,3680772386,0.0,2.0,0.0,2.0,3.0,0.0,0.0,21.0,41067031402,410670314022
4384235,3759115763,0.0,2.0,0.0,2.0,3.0,0.0,0.0,21.0,41067031402,410670314022
9381208,40466112,2.0,4.0,0.0,9.0,2.0,0.0,0.0,22.0,41051000200,410510002001
4222428,4604792285,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,53011041010,530110410102
6412636,40466414,1.0,4.0,0.0,19.0,9.0,1.0,2.0,27.0,41051003402,410510034023
9348978,40466417,1.0,4.0,0.0,19.0,9.0,1.0,2.0,30.0,41051003402,410510034023
8851613,1040689365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,41005022208,410050222081
4211364,37461079,3.0,0.0,0.0,9.0,1.0,1.0,1.0,13.0,41005021602,410050216023
9086833,40539366,0.0,23.0,0.0,13.0,14.0,1.0,2.0,40.0,41051005900,410510059001
9163727,40501938,7.0,12.0,0.0,71.0,19.0,0.0,3.0,31.0,41051001201,410510012014
