id,lat,lon,name,amenity,alias
1881677648,45.3028348,-122.9594729,J's Family Restaurant and Lounge,restaurant,food_drink
1907786882,45.3943807,-122.494061,Carver Cafe,restaurant,food_drink
1907786884,45.392062,-122.498661,Stone Cliff Inn,restaurant,food_drink
1907786885,45.394731,-122.4975908,,restaurant,food_drink
1910814120,45.5203805,-123.1061773,Cornerstone Pub & Grill,restaurant,food_drink
1910820269,45.5203701,-123.1050949,La Sierra,restaurant,food_drink
1946793369,45.4951198,-122.6075633,Foster Burger,restaurant,food_drink
1947093629,45.407373,-122.723458,La Provence,restaurant,food_drink
1947933638,45.5220511,-122.6416194,Slide Inn,restaurant,food_drink
1947933639,45.5205345,-122.6371535,Bamboo Sushi,restaurant,food_drink
1947933640,45.5230527,-122.642813,Pix Patisserie / Bar Vivant,restaurant,food_drink
1947933642,45.5230039,-122.641665,Screen Door,restaurant,food_drink
1947933645,45.5206041,-122.6371562,Ken's Artisan Pizza,restaurant,food_drink
1950349310,45.5350268,-122.877982,P.F. Chang's,restaurant,food_drink
1950349319,45.5342245,-122.916976,Orenco Station Grill,restaurant,food_drink
1963206625,45.4926016,-122.6016957,Tortalandia,restaurant,food_drink
1963915297,45.5481586,-122.6753855,Porque No?,restaurant,food_drink
1966230984,45.5380472,-122.6151992,Killer Burger,restaurant,food_drink
1967252688,45.5890708,-122.5938712,Stanford's Restaurant & Bar,restaurant,food_drink
1967622859,45.5268074,-122.6875424,Nancy's Kitchen,restaurant,food_drink
1970544873,45.5284161,-122.6807498,Laughing Planet,restaurant,food_drink
1971084201,45.3797364,-122.5951328,,restaurant,food_drink
1973266710,45.5322543,-122.6903747,Justa Pasta,restaurant,food_drink
1975835339,45.5394166,-122.6618113,Ox Restaurant,restaurant,food_drink
1975835377,45.5194213,-122.6365397,Baby Doll Pizza,restaurant,food_drink
1996185950,45.4895807,-122.5961578,Bar Carlo,restaurant,food_drink
2001947934,45.4917273,-122.6015095,Tambayan,restaurant,food_drink
2018625451,45.4873946,-122.8035993,Giovanni's Italian Restaurant,restaurant,food_drink
2018972572,45.4096365,-122.7202202,Gubanc's,restaurant,food_drink
2018978916,45.37967,-122.7648441,Tacquiera Las Casitas,restaurant,food_drink
2091747722,45.4097773,-122.7199968,Babica Hen Cafe,restaurant,food_drink
2105331008,45.3787433,-122.5938657,,restaurant,food_drink
2141652663,45.7801085,-122.5456434,Old Town Burger & Breakfast,restaurant,food_drink
2143407411,45.7814508,-122.5448694,99 Teryaki,restaurant,food_drink
2144917697,45.4919098,-122.8539195,Nonna Emilia,restaurant,food_drink
2146069469,45.5325691,-122.694516,Joe's Cellar Cafe,restaurant,food_drink
2146082156,45.5273474,-122.6983681,Escape From New York Pizza,restaurant,food_drink
2172271797,45.5233211,-122.6726712,Alexis Restaurant,restaurant,food_drink
2174824087,45.5245259,-122.6806866,Prasad,restaurant,food_drink
2218927022,45.579655,-122.715574,Bagel and Box,restaurant,food_drink
2225666384,45.302182,-122.766145,Thai Village Restaurant,restaurant,food_drink
2227554580,45.34472,-122.654154,Allium,restaurant,food_drink
2239173901,45.7814739,-122.5612369,The Golden Tusk,restaurant,food_drink
2280949788,45.5140695,-122.3617196,Riverview Restaurant,restaurant,food_drink
2285921950,45.5192796,-122.5822829,Bipartisan Cafe,restaurant,food_drink
2285926158,45.5054248,-122.6153586,The Woodsman Tavern,restaurant,food_drink
